,id,repo_id,contributor,contributions
468,,8859474,skylot,1698
351,,20818126,icbaker,1690
4037,,2067253,hannesj,1690
10787,,37912398,mdounin,1687
6851,,1756350,jodastephen,1681
185,,1103607,daniel-beck,1678
10727,,36836475,ThomasAdam,1678
1080,,11008076,J38,1677
2345,,3480666,karussell,1677
2038,,60561834,davivel,1674
1520,,442430,jhy,1663
19,,1148753,poutsma,1663
1351,,221862,rzwitserloot,1654
2141,,1680733,twall,1646
843,,19369035,wkurniawan07,1646
8382,,397334149,vkryl,1642
2406,,7420937,romansmirnov,1641
1223,,237867883,Somebody-JIAN,1640
3452,,377354200,magestacks,1639
2834,,867564,hoisie,1637
3645,,17960746,normen,1637
8543,,306449955,coderbot16,1635
3711,,19730456,Nashatyrev,1633
2947,,1773754,khobbits,1631
8319,,10746583,lemire,1626
485,,206444,ashutoshc,1624
2297,,10637896,rgoers,1623
673,,27729926,ejona86,1622
7115,,195856796,Camotoy,1622
3887,,671825,bernd,1621
5689,,204164353,tchiotludo,1607
6715,,49694044,razerdp,1600
1169,,237940592,click33,1598
294,,49876476,cherrylzhao,1598
4197,,95203155,rememberber,1592
206,,7613257,titusfortner,1592
2694,,2544305,tomakehurst,1590
2290,,27954927,ben-manes,1585
3141,,30860673,Vlatombe,1583
7731,,9342529,seut,1580
663,,14734876,agibsonccc,1576
10751,,2810292,pbatard,1575
378,,66023605,Doug-AWS,1574
8288,,48880766,lwhite1,1571
352,,20818126,andrewlewis,1565
8622,,10437688,peter-lawrey,1564
1855,,90675730,k8s-ci-robot,1563
3343,,33745913,grandinj,1563
7261,,869754,ignatov,1562
837,,73963835,spencergibb,1562
407,,15823460,mrniko,1559
432,,57461213,deathbeam,1558
3888,,671825,linuspahl,1555
1115,,27911088,markap14,1555
3272,,83799439,mikejurka,1552
2932,,4134560,jfinal,1550
793,,1272129,codahale,1549
10796,,14812739,bnoordhuis,1546
137,,53127403,nobodyiam,1544
13,,6296790,mbhave,1538
1557,,15040596,jon-signal,1538
2666,,16977479,reta,1536
2766,,5244445,danieloeh,1535
14,,6296790,mhalbritter,1531
8414,,11233996,elucash,1531
706,,6358188,gianm,1526
1871,,34039690,eric-milles,1525
3255,,184604,yusuke,1523
722,,5187976,wluyima,1521
2407,,7420937,meyerdan,1517
2627,,206387,chirino,1510
8525,,13062062,torakiki,1509
163,,19148949,PhilJay,1504
1067,,54783462,daniulive,1502
2896,,1944709,wumpz,1498
7580,,174260605,gnu-andrew,1483
1443,,50160261,aikar,1474
872,,99919302,morningman,1472
756,,3766706,iBotPeaches,1464
207,,7613257,jleyba,1464
186,,1103607,oleg-nenashev,1459
3302,,45903621,simonbasle,1458
220,,7508411,akarnokd,1457
365,,3148979,marcusdacoregio,1457
10771,,2810455,ggreer,1449
1127,,206483,bentmann,1447
1081,,11008076,gangeli,1442
2152,,2442457,hiveww,1437
542,,65987043,miemieYaho,1436
3390,,20570214,tholenst,1432
4180,,8710734,costin,1428
947,,77993578,LuckSiege,1425
3273,,83799439,alexchau-google,1424
3391,,20570214,juergw,1423
3322,,19836746,doneill,1414
2253,,48418599,vishwasbabu,1413
2907,,1438007,immortius,1410
443,,75277003,vvlladd28,1402
2346,,3480666,easbar,1402
